event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Angela Hill,Luana Pinheiro,win,"SUB

      

        Guillotine Choke",2,4:12
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Tom Nolan,Victor Martinez,win,"KO/TKO

      

        Knee",1,3:50
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Oumar Sy,Tuco Tokkos,win,"SUB

      

        Rear Naked Choke",1,3:43
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Melissa Gatto,Tamires Vidal,win,"KO/TKO

      

        Punch",3,0:37
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Abus Magomedov,Warlley Alves,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Ariane Carnelossi,Piera Rodriguez,win,DQ,2,3:16
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Alatengheili,Kleydson Rodrigues,win,U-DEC,3,5:00
UFC Fight Night: Barboza vs. Murphy,"June 01, 2024",Vanessa Demopoulos,Emily Ducote,win,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Derrick Lewis,Rodrigo Nascimento,win,"KO/TKO

      

        Punch",3,0:49
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Joaquin Buckley,Nursulton Ruziboev,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Carlos Ulberg,Alonzo Menifield,win,"KO/TKO

      

        Punches",1,0:12
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Diego Ferreira,Mateusz Rebecki,win,"KO/TKO

      

        Punches",3,4:51
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Sean Woodson,Alex Caceres,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Waldo Cortes-Acosta,Robelis Despaigne,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Chase Hooper,Viacheslav Borshchev,win,"SUB

      

        D'Arce Choke",2,3:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Esteban Ribovics,Terrance McKinney,win,"KO/TKO

      

        Kick",1,0:37
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Tabatha Ricci,Tecia Pennington,win,S-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Trey Waters,Billy Ray Goff,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Charles Johnson,Jake Hadley,win,U-DEC,3,5:00
UFC Fight Night: Lewis vs. Nascimento,"May 18, 2024",Veronica Hardy,JJ Aldrich,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Alexandre Pantoja,Steve Erceg,win,U-DEC,5,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Jose Aldo,Jonathan Martinez,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Anthony Smith,Vitor Petrino,win,"SUB

      

        Guillotine Choke",1,2:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Michel Pereira,Ihor Potieria,win,"SUB

      

        Guillotine Choke",1,0:54
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Caio Borralho,Paul Craig,win,"KO/TKO

      

        Punches",2,2:10
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Joanderson Brito,Jack Shore,win,KO/TKO,2,3:35
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Iasmin Lucindo,Karolina Kowalkiewicz,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Myktybek Orolbai,Elves Brener,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Drakkar Klose,Joaquim Silva,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Mauricio Ruffy,Jamie Mullarkey,win,"KO/TKO

      

        Punches",1,4:42
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Dione Barbosa,Ernesta Kareckaite,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Ismael Bonfim,Vinc Pichel,win,U-DEC,3,5:00
UFC 301: Pantoja vs. Erceg,"May 11, 2024",Alessandro Costa,Kevin Borjas,win,"KO/TKO

      

        Punches",2,1:35
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Alex Perez,Matheus Nicolau,win,"KO/TKO

      

        Punch",2,2:16
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Bogdan Guskov,Ryan Spann,win,"KO/TKO

      

        Punches",2,3:16
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Karine Silva,Ariane da Silva,win,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Jhonata Diniz,Austen Lane,win,"KO/TKO

      

        Punch",2,2:12
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",David Onama,Jonathan Pearce,win,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Uros Medic,Tim Means,win,"KO/TKO

      

        Punch",1,2:09
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Victor Henry,Rani Yahya,win,"KO/TKO

      

        Punches",3,2:36
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Austin Hubbard,Michal Figlak,win,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Don'Tale Mayes,Caio Machado,win,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Ketlen Souza,Marnic Mann,win,U-DEC,3,5:00
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Chris Padilla,James Llontop,win,"SUB

      

        Rear Naked Choke",1,4:33
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Ivana Petrovic,Liang Na,win,"SUB

      

        Arm Triangle",3,1:29
UFC Fight Night: Nicolau vs. Perez,"May 04, 2024",Maheshate,Gabriel Benitez,win,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 27, 2024",Alex Pereira,Jamahal Hill,win,"KO/TKO

      

        Punch",1,3:14
UFC 300: Pereira vs. Hill,"April 27, 2024",Zhang Weili,Yan Xiaonan,win,U-DEC,5,5:00
UFC 300: Pereira vs. Hill,"April 27, 2024",Max Holloway,Justin Gaethje,win,"KO/TKO

      

        Punch",5,4:59
UFC 300: Pereira vs. Hill,"April 27, 2024",Arman Tsarukyan,Charles Oliveira,win,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 27, 2024",Bo Nickal,Cody Brundage,win,"SUB

      

        Rear Naked Choke",2,3:38
UFC 300: Pereira vs. Hill,"April 27, 2024",Jiri Prochazka,Aleksandar Rakic,win,"KO/TKO

      

        Punches",2,3:17
UFC 300: Pereira vs. Hill,"April 27, 2024",Aljamain Sterling,Calvin Kattar,win,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 27, 2024",Kayla Harrison,Holly Holm,win,"SUB

      

        Rear Naked Choke",2,1:47
UFC 300: Pereira vs. Hill,"April 27, 2024",Diego Lopes,Sodiq Yusuff,win,"KO/TKO

      

        Punches",1,1:29
UFC 300: Pereira vs. Hill,"April 27, 2024",Renato Moicano,Jalin Turner,win,"KO/TKO

      

        Punches",2,4:11
UFC 300: Pereira vs. Hill,"April 27, 2024",Jessica Andrade,Marina Rodriguez,win,S-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 27, 2024",King Green,Jim Miller,win,U-DEC,3,5:00
UFC 300: Pereira vs. Hill,"April 27, 2024",Deiveson Figueiredo,Cody Garbrandt,win,"SUB

      

        Rear Naked Choke",2,4:02
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Brendan Allen,Chris Curtis,win,S-DEC,5,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Damon Jackson,Alexander Hernandez,win,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Chepe Mariscal,Morgan Charriere,win,S-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Ignacio Bahamondes,Christos Giagos,win,"KO/TKO

      

        Kick",1,3:34
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Charlie Campbell,Trevor Peek,win,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Alex Morono,Court McGee,win,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Lukasz Brzeski,Valter Walker,win,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Norma Dumont,Germaine de Randamie,win,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Victor Hugo,Pedro Falcao,win,U-DEC,3,5:00
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Jean Matsumoto,Dan Argueta,win,"SUB

      

        Guillotine Choke",2,4:59
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Cesar Almeida,Dylan Budka,win,"KO/TKO

      

        Elbows",2,2:13
UFC Fight Night: Allen vs. Curtis 2,"April 13, 2024",Nora Cornolle,Melissa Mullins,win,"KO/TKO

      

        Knee",2,3:06
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Manon Fiorot,Erin Blanchfield,win,U-DEC,5,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Joaquin Buckley,Vicente Luque,win,"KO/TKO

      

        Punches",2,3:17
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Chris Weidman,Bruno Silva,win,U-DEC,3,2:18
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Nursulton Ruziboev,Sedriques Dumas,win,"KO/TKO

      

        Punch",1,3:18
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Kyle Nelson,Bill Algeo,win,"KO/TKO

      

        Punches",1,4:00
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Chidi Njokuani,Rhys McKee,win,S-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Nate Landwehr,Jamall Emmers,win,"KO/TKO

      

        Punch",1,4:43
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Virna Jandiroba,Loopy Godinez,win,U-DEC,3,5:00
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Julio Arce,Herbert Burns,win,"KO/TKO

      

        Punch",2,2:00
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Dennis Buzukja,Connor Matthews,win,"KO/TKO

      

        Punch",3,0:22
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Ibo Aslan,Anton Turkalj,win,"KO/TKO

      

        Punch",3,1:32
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Jacob Malkoun,Andre Petroski,win,"KO/TKO

      

        Kick",2,0:39
UFC Fight Night: Blanchfield vs. Fiorot,"April 06, 2024",Caolan Loughran,Angel Pacheco,win,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Rose Namajunas,Amanda Ribas,win,U-DEC,5,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Karl Williams,Justin Tafa,win,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Edmen Shahbazyan,AJ Dobson,win,"KO/TKO

      

        Punches",1,4:33
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Payton Talbott,Cameron Saaiman,win,"KO/TKO

      

        Punches",2,0:21
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Youssef Zalal,Billy Quarantillo,win,"SUB

      

        Rear Naked Choke",2,1:50
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Fernando Padilla,Luis Pajuelo,win,"SUB

      

        D'Arce Choke",1,2:45
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Trey Ogden,Kurt Holobaugh,win,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Julian Erosa,Ricardo Ramos,win,"SUB

      

        Guillotine Choke",1,2:15
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Miles Johns,Cody Gibson,win,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Jarno Errens,Steven Nguyen,win,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Daria Zhelezniakova,Montserrat Rendon,win,U-DEC,3,5:00
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Andre Lima,Igor Severino,win,DQ,2,2:52
UFC Fight Night: Ribas vs. Namajunas,"March 23, 2024",Mick Parkin,Mohammed Usman,win,U-DEC,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Marcin Tybura,Tai Tuivasa,win,"SUB

      

        Rear Naked Choke",1,4:08
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Bryan Battle,Ange Loosa,"nc


nc",CNC,2,1:00
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Ovince Saint Preux,Kennedy Nzechukwu,win,S-DEC,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Christian Rodriguez,Isaac Dulgarian,win,S-DEC,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Macy Chiasson,Pannie Kianzad,win,"SUB

      

        Rear Naked Choke",1,3:54
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Gerald Meerschaert,Bryan Barberena,win,"SUB

      

        Rear Naked Choke",2,4:23
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Mike Davis,Natan Levy,win,"SUB

      

        Arm Triangle",2,1:43
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Chelsea Chandler,Josiane Nunes,win,U-DEC,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Jafel Filho,Ode Osbourne,win,"SUB

      

        Rear Naked Choke",1,4:27
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Danny Silva,Josh Culibao,win,S-DEC,3,5:00
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Jaqueline Amorim,Cory McKenna,win,"SUB

      

        Armbar",1,1:38
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Thiago Moises,Mitch Ramirez,win,"KO/TKO

      

        Kick",3,0:15
UFC Fight Night: Tuivasa vs. Tybura,"March 16, 2024",Chad Anheliger,Charalampos Grigoriou,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Sean O'Malley,Marlon Vera,win,U-DEC,5,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Dustin Poirier,Benoit Saint Denis,win,"KO/TKO

      

        Punch",2,2:32
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Michael Page,Kevin Holland,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Jack Della Maddalena,Gilbert Burns,win,"KO/TKO

      

        Elbows",3,3:43
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Petr Yan,Song Yadong,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Curtis Blaydes,Jailton Almeida,win,"KO/TKO

      

        Punches",2,0:36
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Maycee Barber,Katlyn Cerminara,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Mateusz Gamrot,Rafael Dos Anjos,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Kyler Phillips,Pedro Munhoz,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Philipe Lins,Ion Cutelaba,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Michel Pereira,Michal Oleksiejczuk,win,"SUB

      

        Rear Naked Choke",1,1:01
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Robelis Despaigne,Josh Parisian,win,"KO/TKO

      

        Punch",1,0:18
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Asu Almabayev,CJ Vergara,win,U-DEC,3,5:00
UFC 299: O'Malley vs. Vera 2,"March 09, 2024",Joanne Wood,Maryna Moroz,win,S-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Jairzinho Rozenstruik,Shamil Gaziev,win,KO/TKO,4,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Vitor Petrino,Tyson Pedro,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Muhammad Mokaev,Alex Perez,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Umar Nurmagomedov,Bekzat Almakhan,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Steve Erceg,Matt Schnell,win,"KO/TKO

      

        Punch",2,0:26
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Eryk Anders,Jamie Pickett,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Vinicius Oliveira,Benardo Sopaj,win,"KO/TKO

      

        Flying Knee",3,4:41
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Aiemann Zahabi,Javid Basharat,win,U-DEC,3,5:00
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Christian Leroy Duncan,Claudio Ribeiro,win,"KO/TKO

      

        Punches",2,1:57
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Ludovit Klein,AJ Cunningham,win,"KO/TKO

      

        Kick",1,4:36
UFC Fight Night: Rozenstruik vs. Gaziev,"March 02, 2024",Loik Radzhabov,Abdul-Kareem Al-Selwady,win,"KO/TKO

      

        Punch",3,0:49
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Brandon Royval,Brandon Moreno,win,S-DEC,5,5:00
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Brian Ortega,Yair Rodriguez,win,"SUB

      

        Arm Triangle",3,0:58
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Daniel Zellhuber,Francisco Prado,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Yazmin Jauregui,Sam Hughes,win,U-DEC,3,5:00
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Manuel Torres,Chris Duncan,win,"SUB

      

        Rear Naked Choke",1,1:46
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Raoni Barcelos,Cristian Quinonez,win,"SUB

      

        Rear Naked Choke",3,2:04
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Jesus Aguilar,Mateus Mendonca,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Edgar Chairez,Daniel Lacerda,win,"SUB

      

        Triangle Choke",1,2:17
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Fares Ziam,Claudio Puelles,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Ronaldo Rodriguez,Denys Bondar,win,"SUB

      

        Rear Naked Choke",2,4:59
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Felipe dos Santos,Victor Altamirano,win,S-DEC,3,5:00
UFC Fight Night: Moreno vs. Royval 2,"February 24, 2024",Muhammad Naimov,Erik Silva,win,KO/TKO,1,0:44
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Ilia Topuria,Alexander Volkanovski,win,"KO/TKO

      

        Punch",2,3:32
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Robert Whittaker,Paulo Costa,win,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Ian Machado Garry,Geoff Neal,win,S-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Merab Dvalishvili,Henry Cejudo,win,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Anthony Hernandez,Roman Kopylov,win,"SUB

      

        Rear Naked Choke",2,3:23
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Amanda Lemos,Mackenzie Dern,win,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Marcos Rogerio de Lima,Junior Tafa,win,"KO/TKO

      

        Kick",2,1:14
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Rinya Nakamura,Carlos Vera,win,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Zhang Mingyang,Brendson Ribeiro,win,"KO/TKO

      

        Punch",1,1:41
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Danny Barlow,Josh Quinlan,win,"KO/TKO

      

        Punches",3,1:18
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Oban Elliott,Val Woodburn,win,U-DEC,3,5:00
UFC 298: Volkanovski vs. Topuria,"February 17, 2024",Miranda Maverick,Andrea Lee,win,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Jack Hermansson,Joe Pyfer,win,U-DEC,5,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Dan Ige,Andre Fili,win,"KO/TKO

      

        Punch",1,2:43
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Ihor Potieria,Robert Bryczek,win,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Gregory Rodrigues,Brad Tavares,win,"KO/TKO

      

        Punches",3,0:55
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Michael Johnson,Darrius Flowers,win,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Rodolfo Vieira,Armen Petrosyan,win,"SUB

      

        Arm Triangle",1,4:48
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Carlos Prates,Trevin Giles,win,"KO/TKO

      

        Punch",2,4:03
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Bolaji Oki,Timmy Cuamba,win,S-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Loma Lookboonmee,Bruna Brasil,win,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Marcin Prachnio,Devin Clark,win,U-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Max Griffin,Jeremiah Wells,win,S-DEC,3,5:00
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Bogdan Guskov,Zac Pauga,win,"KO/TKO

      

        Punches",1,3:38
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Hyder Amil,Fernie Garcia,win,"KO/TKO

      

        Punches",2,2:12
UFC Fight Night: Hermansson vs. Pyfer,"February 10, 2024",Daniel Marcos,Aoriqileng,"nc


nc",CNC,2,3:28
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Nassourdine Imavov,Roman Dolidze,win,M-DEC,5,5:00
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Renato Moicano,Drew Dober,win,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Randy Brown,Muslim Salikhov,win,"KO/TKO

      

        Punch",1,3:17
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Natalia Silva,Viviane Araujo,win,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Aliaskhab Khizriev,Makhmud Muradov,"nc


nc",CNC,1,0:11
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Charles Radtke,Gilbert Urbina,win,"KO/TKO

      

        Punch",1,4:47
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Molly McCann,Diana Belbita,win,"SUB

      

        Armbar",1,4:59
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Charles Johnson,Azat Maksum,win,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Themba Gorimbo,Pete Rodriguez,win,"KO/TKO

      

        Punch",1,0:32
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",JeongYeong Lee,Blake Bilder,win,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Luana Carolina,Julija Stoliarenko,win,"KO/TKO

      

        Punches",3,4:52
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",MarQuel Mederos,Landon Quinones,win,U-DEC,3,5:00
UFC Fight Night: Dolidze vs. Imavov,"February 03, 2024",Jamal Pogues,Thomas Petersen,win,U-DEC,3,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Dricus Du Plessis,Sean Strickland,win,S-DEC,5,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Raquel Pennington,Mayra Bueno Silva,win,U-DEC,5,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Neil Magny,Mike Malott,win,"KO/TKO

      

        Punches",3,4:45
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Chris Curtis,Marc-Andre Barriault,win,S-DEC,3,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Movsar Evloev,Arnold Allen,win,U-DEC,3,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Garrett Armfield,Brad Katona,win,U-DEC,3,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Sean Woodson,Charles Jourdain,win,S-DEC,3,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Ramon Taveras,Serhiy Sidey,win,S-DEC,3,5:00
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Gillian Robertson,Polyana Viana,win,"KO/TKO

      

        Punches",2,3:12
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Sam Patterson,Yohan Lainesse,win,"SUB

      

        Rear Naked Choke",1,2:03
UFC 297: Strickland vs. Du Plessis,"January 20, 2024",Jasmine Jasudavicius,Priscila Cachoeira,win,"SUB

      

        Anaconda Choke",3,4:21
